variant	run	bash_startup_us	source_us	total_us
baseline	1	4479	138	5635
baseline	2	3562	109	4385
baseline	3	3561	84	4418
baseline	4	4174	102	5100
baseline	5	3561	89	4557
baseline	6	3501	85	4331
baseline	7	3846	94	4773
baseline	8	3671	88	4937
baseline	9	3454	145	4608
baseline	10	3699	98	4547
baseline	11	3524	100	4371
baseline	12	3475	87	4565
baseline	13	4009	102	4942
baseline	14	4386	99	5379
baseline	15	3496	91	4345
baseline	16	3938	165	4916
baseline	17	5055	97	5936
baseline	18	4322	88	5693
baseline	19	4200	138	5365
baseline	20	3420	89	4301
baseline	21	3463	80	4259
baseline	22	3534	85	4405
baseline	23	3634	95	4466
baseline	24	3479	98	4440
baseline	25	4170	89	5081
baseline	26	4371	105	5353
baseline	27	3629	82	4854
baseline	28	3576	126	4570
baseline	29	3878	94	4740
baseline	30	3656	94	4495
baseline	31	3883	182	4852
baseline	32	3814	101	4720
baseline	33	3953	210	5075
baseline	34	6773	153	7904
baseline	35	4156	109	5095
baseline	36	3662	122	4678
baseline	37	3852	228	4979
baseline	38	4483	91	5359
baseline	39	3551	83	4473
baseline	40	3225	76	3941
baseline	41	3409	81	4191
baseline	42	3412	83	4407
baseline	43	3784	86	4744
baseline	44	3294	83	4087
baseline	45	3263	89	4116
baseline	46	3059	78	3848
baseline	47	3444	105	4355
baseline	48	4396	113	5781
baseline	49	5221	125	6265
baseline	50	3464	83	4219
hook-utils	1	3885	2783	7419
hook-utils	2	3423	2537	6765
hook-utils	3	3598	2749	7265
hook-utils	4	3382	2494	6730
hook-utils	5	3929	3100	7910
hook-utils	6	3292	2955	7216
hook-utils	7	3393	2593	6770
hook-utils	8	3137	2492	6337
hook-utils	9	3109	2465	6303
hook-utils	10	3116	2458	6317
hook-utils	11	3117	2500	6345
hook-utils	12	3041	2472	6259
hook-utils	13	3161	2444	6362
hook-utils	14	3099	2486	6450
hook-utils	15	3056	2480	6224
hook-utils	16	3063	2529	6445
hook-utils	17	3104	2437	6439
hook-utils	18	3137	2457	6361
hook-utils	19	3037	2514	6244
hook-utils	20	3159	2404	6398
hook-utils	21	3038	2488	6282
hook-utils	22	3259	2571	6590
hook-utils	23	3251	2455	6541
hook-utils	24	3094	2445	6299
hook-utils	25	3093	2756	6956
hook-utils	26	3385	2536	6735
hook-utils	27	3418	2541	6840
hook-utils	28	3268	2467	6469
hook-utils	29	3120	2451	6234
hook-utils	30	4235	3095	8145
hook-utils	31	3543	2655	7039
hook-utils	32	3971	3108	7870
hook-utils	33	3201	2547	6529
hook-utils	34	3687	2645	7149
hook-utils	35	3425	2714	7011
hook-utils	36	5254	3325	9411
hook-utils	37	3511	2718	7031
hook-utils	38	4464	2683	8209
hook-utils	39	3871	2506	7129
hook-utils	40	3606	2683	7468
hook-utils	41	3049	2543	6326
hook-utils	42	2959	2543	6285
hook-utils	43	3130	2526	6355
hook-utils	44	3187	2450	6434
hook-utils	45	3177	2487	6437
hook-utils	46	3164	2615	6569
hook-utils	47	3230	2483	6580
hook-utils	48	3118	2503	6359
hook-utils	49	3183	2490	6394
hook-utils	50	3106	2610	6472
detection-registry	1	3251	4539	8565
detection-registry	2	3211	4119	8152
detection-registry	3	3556	4634	9044
detection-registry	4	3320	4364	8459
detection-registry	5	3108	4169	8055
detection-registry	6	3106	4331	8162
detection-registry	7	3204	4197	8154
detection-registry	8	3112	4247	8125
detection-registry	9	3257	4277	8328
detection-registry	10	3183	4133	8112
detection-registry	11	3265	4168	8158
detection-registry	12	3221	4159	8139
detection-registry	13	3119	4080	7934
detection-registry	14	3129	4143	8000
detection-registry	15	3136	4543	8559
detection-registry	16	3208	4155	8138
detection-registry	17	3161	4648	8605
detection-registry	18	4347	5675	10866
detection-registry	19	3238	4170	8168
detection-registry	20	3141	4276	8201
detection-registry	21	4341	5356	10471
detection-registry	22	3041	4256	8027
detection-registry	23	3634	4593	8989
detection-registry	24	3343	4252	8338
detection-registry	25	3989	5371	10417
detection-registry	26	3760	4862	9362
detection-registry	27	3207	4247	8182
detection-registry	28	3124	4369	8260
detection-registry	29	3191	4684	8704
detection-registry	30	4063	5696	10600
detection-registry	31	3139	4217	8179
detection-registry	32	3200	4136	8068
detection-registry	33	3273	4179	8272
detection-registry	34	3209	4148	8114
detection-registry	35	3052	4203	8125
detection-registry	36	3155	4232	8127
detection-registry	37	3113	4657	8544
detection-registry	38	3208	4225	8269
detection-registry	39	3016	4244	7987
detection-registry	40	3174	4241	8170
detection-registry	41	3014	4132	7906
detection-registry	42	3243	4467	8469
detection-registry	43	3254	4251	8211
detection-registry	44	3327	4209	8264
detection-registry	45	3153	4398	8433
detection-registry	46	3420	4466	8696
detection-registry	47	3981	5116	9945
detection-registry	48	3141	4221	8087
detection-registry	49	3172	4175	8201
detection-registry	50	3226	4203	8218
detection-registry-loaded	1	3110	12440	16291
detection-registry-loaded	2	3097	12138	16135
detection-registry-loaded	3	3122	12198	16042
detection-registry-loaded	4	3108	12167	16086
detection-registry-loaded	5	3376	14471	18771
detection-registry-loaded	6	3315	12988	17177
detection-registry-loaded	7	3091	12497	16307
detection-registry-loaded	8	3551	12644	17258
detection-registry-loaded	9	3174	12238	16138
detection-registry-loaded	10	3257	12572	16599
detection-registry-loaded	11	3465	14564	19053
detection-registry-loaded	12	4209	12916	17861
detection-registry-loaded	13	3012	11844	15600
detection-registry-loaded	14	3046	11998	15768
detection-registry-loaded	15	2978	11964	15693
detection-registry-loaded	16	3137	12587	16432
detection-registry-loaded	17	3079	12013	15809
detection-registry-loaded	18	3084	12151	16012
detection-registry-loaded	19	3188	12735	16636
detection-registry-loaded	20	3158	12267	16144
detection-registry-loaded	21	3140	12321	16238
detection-registry-loaded	22	3074	12230	16047
detection-registry-loaded	23	3082	12318	16231
detection-registry-loaded	24	3223	13590	17565
detection-registry-loaded	25	3685	13363	17843
detection-registry-loaded	26	3216	12259	16304
detection-registry-loaded	27	3219	12303	16297
detection-registry-loaded	28	3309	12158	16247
detection-registry-loaded	29	3218	12352	16325
detection-registry-loaded	30	3170	12063	15982
detection-registry-loaded	31	3047	12209	16041
detection-registry-loaded	32	3124	12530	16375
detection-registry-loaded	33	3044	12047	15841
detection-registry-loaded	34	3129	12154	16043
detection-registry-loaded	35	3411	12396	16682
detection-registry-loaded	36	3664	13458	17943
detection-registry-loaded	37	3161	12210	16105
detection-registry-loaded	38	3286	13664	17748
detection-registry-loaded	39	3040	12236	16144
detection-registry-loaded	40	3217	13204	17337
detection-registry-loaded	41	3145	12402	16318
detection-registry-loaded	42	4024	13966	18806
detection-registry-loaded	43	3687	13893	18489
detection-registry-loaded	44	3215	13495	17698
detection-registry-loaded	45	3207	12218	16197
detection-registry-loaded	46	3129	12320	16198
detection-registry-loaded	47	3224	12362	16342
detection-registry-loaded	48	3154	12222	16135
detection-registry-loaded	49	3174	12142	16104
detection-registry-loaded	50	3129	12159	16139
settings-permissions	1	3132	2692	6599
settings-permissions	2	3276	2764	6874
settings-permissions	3	3237	2755	6795
settings-permissions	4	3123	2856	6749
settings-permissions	5	3310	2723	6767
settings-permissions	6	3234	2822	6932
settings-permissions	7	3341	2783	6892
settings-permissions	8	3077	2813	6612
settings-permissions	9	3177	2705	6601
settings-permissions	10	3337	2894	7039
settings-permissions	11	3169	2812	6717
settings-permissions	12	3400	2847	7122
settings-permissions	13	3235	2693	6687
settings-permissions	14	3284	3060	7103
settings-permissions	15	3345	3129	7212
settings-permissions	16	4888	3486	9548
settings-permissions	17	3755	3140	7773
settings-permissions	18	3150	3085	7148
settings-permissions	19	3155	3347	7399
settings-permissions	20	3388	3826	8154
settings-permissions	21	3166	2983	6903
settings-permissions	22	3195	2720	6641
settings-permissions	23	3257	3311	7348
settings-permissions	24	4395	3067	8218
settings-permissions	25	3236	2742	6747
settings-permissions	26	3128	2783	6666
settings-permissions	27	3071	2787	6646
settings-permissions	28	3107	2704	6578
settings-permissions	29	3345	2842	7105
settings-permissions	30	3159	2769	6681
settings-permissions	31	3172	2900	6925
settings-permissions	32	3849	2984	7784
settings-permissions	33	3346	2694	6789
settings-permissions	34	3177	2678	6731
settings-permissions	35	3287	2796	6900
settings-permissions	36	3137	2642	6528
settings-permissions	37	3183	2921	6897
settings-permissions	38	3247	2740	6728
settings-permissions	39	3152	2892	6848
settings-permissions	40	3156	2808	6802
settings-permissions	41	3140	2851	6713
settings-permissions	42	3190	2684	6649
settings-permissions	43	3081	2718	6636
settings-permissions	44	3205	2659	6569
settings-permissions	45	3643	2894	7247
settings-permissions	46	3148	2942	6922
settings-permissions	47	3428	4159	8708
settings-permissions	48	3272	2709	6757
settings-permissions	49	3091	2668	6477
settings-permissions	50	3158	2778	6673
settings-permissions-loaded	1	3110	11365	15325
settings-permissions-loaded	2	3096	11677	15594
settings-permissions-loaded	3	3094	11184	15083
settings-permissions-loaded	4	3138	11275	15379
settings-permissions-loaded	5	3149	11283	15218
settings-permissions-loaded	6	3200	11378	15342
settings-permissions-loaded	7	3111	11316	15395
settings-permissions-loaded	8	3446	11585	15829
settings-permissions-loaded	9	3448	11979	16306
settings-permissions-loaded	10	5269	12264	18452
settings-permissions-loaded	11	3246	11375	15410
settings-permissions-loaded	12	3251	11423	15438
settings-permissions-loaded	13	3066	11284	15142
settings-permissions-loaded	14	3130	11280	15180
settings-permissions-loaded	15	3223	11166	15215
settings-permissions-loaded	16	3134	11184	15087
settings-permissions-loaded	17	3169	12550	16608
settings-permissions-loaded	18	3322	12308	16751
settings-permissions-loaded	19	4484	12264	17573
settings-permissions-loaded	20	3382	12234	16428
settings-permissions-loaded	21	3314	11507	15634
settings-permissions-loaded	22	3473	12885	17131
settings-permissions-loaded	23	3067	11349	15246
settings-permissions-loaded	24	3317	11498	15683
settings-permissions-loaded	25	3233	11301	15298
settings-permissions-loaded	26	3265	11205	15287
settings-permissions-loaded	27	3673	11232	15659
settings-permissions-loaded	28	3329	11257	15479
settings-permissions-loaded	29	3261	11114	15125
settings-permissions-loaded	30	3157	11181	15122
settings-permissions-loaded	31	3029	11265	15045
settings-permissions-loaded	32	3084	11253	15392
settings-permissions-loaded	33	3081	11241	15099
settings-permissions-loaded	34	3177	11191	15152
settings-permissions-loaded	35	3168	11640	15583
settings-permissions-loaded	36	3136	11301	15270
settings-permissions-loaded	37	3089	11304	15187
settings-permissions-loaded	38	3353	12611	16833
settings-permissions-loaded	39	3563	12467	16904
settings-permissions-loaded	40	3918	12882	17755
settings-permissions-loaded	41	3360	11376	15499
settings-permissions-loaded	42	4114	13711	18852
settings-permissions-loaded	43	3695	12667	17171
settings-permissions-loaded	44	3057	11061	14916
settings-permissions-loaded	45	3019	11057	14953
settings-permissions-loaded	46	3098	11328	15271
settings-permissions-loaded	47	3004	12337	16094
settings-permissions-loaded	48	3135	11497	15441
settings-permissions-loaded	49	3365	11410	15599
settings-permissions-loaded	50	3552	12086	16510
